course_id,title,category,level,description
C001,Java 프로그래밍 기초,백엔드,입문,변수와 자료형부터 클래스와 객체지향의 기본 개념까지 Java 언어의 기초 문법을 처음부터 차근차근 배웁니다.
C002,객체지향 프로그래밍 심화,백엔드,중급,상속과 다형성 인터페이스 추상클래스 등 객체지향 설계의 핵심 원리와 SOLID 원칙을 Java 예제로 학습합니다.
C003,Spring Boot 입문,백엔드,입문,Spring Boot로 첫 웹 애플리케이션을 만들며 의존성 주입과 MVC 패턴 컨트롤러 작성법을 익힙니다.
C004,Spring Boot 실전 REST API 개발,백엔드,중급,실무 수준의 REST API를 설계하고 예외 처리 검증 문서화까지 Spring Boot 기반 백엔드 개발 전 과정을 다룹니다.
C005,JPA와 데이터베이스 연동,백엔드,중급,JPA와 Hibernate로 엔티티를 설계하고 연관관계 매핑과 영속성 컨텍스트를 이해하며 실무 쿼리 최적화를 배웁니다.
C006,Spring Security와 JWT 인증,백엔드,고급,Spring Security 구조를 이해하고 JWT 토큰 기반 로그인과 권한 관리 OAuth2 소셜 로그인을 구현합니다.
C007,MySQL 데이터베이스 기초,백엔드,입문,관계형 데이터베이스 개념과 SQL 기본 문법 SELECT JOIN GROUP BY를 실습 위주로 배웁니다.
C008,SQL 성능 튜닝과 인덱스,백엔드,고급,실행 계획을 읽고 인덱스 설계와 쿼리 튜닝으로 느린 쿼리를 개선하는 데이터베이스 성능 최적화 기법을 다룹니다.
C009,Redis와 캐싱 전략,백엔드,중급,Redis 자료구조를 익히고 캐시 무효화 전략과 세션 저장소 순위표 구현 등 실무 캐싱 패턴을 학습합니다.
C010,대용량 트래픽을 위한 백엔드 설계,백엔드,고급,로드밸런싱 메시지큐 샤딩 등 대규모 트래픽을 처리하는 서버 아키텍처 설계 원칙을 사례 중심으로 배웁니다.
C011,HTML CSS 웹 퍼블리싱 기초,프론트엔드,입문,HTML 태그와 CSS 선택자 박스모델부터 반응형 레이아웃까지 웹 페이지 제작의 기본기를 다집니다.
C012,JavaScript 핵심 문법,프론트엔드,입문,변수 함수 배열 객체와 DOM 조작 이벤트 처리까지 자바스크립트의 핵심 개념을 예제로 익힙니다.
C013,모던 JavaScript ES6+ 심화,프론트엔드,중급,화살표 함수 구조분해 프로미스 async await 모듈 시스템 등 모던 자바스크립트 문법을 깊이 있게 다룹니다.
C014,React 입문,프론트엔드,입문,컴포넌트와 props state 개념을 이해하고 React로 동적인 사용자 인터페이스를 만드는 방법을 배웁니다.
